point_index,point_lat,point_lon,metric_rent
126,55.7091788989899,37.63822518181818,40793.0
127,55.7091788989899,37.64015248484848,40793.0
128,55.7091788989899,37.64207978787879,40793.0
129,55.7091788989899,37.66135281818181,40774.0
130,55.7091788989899,37.66328012121212,40774.0
131,55.7091788989899,37.66520742424242,40774.0
132,55.7091788989899,37.667134727272725,40774.0
133,55.7091788989899,37.669062030303024,38000.0
134,55.7091788989899,37.67098933333333,38000.0
135,55.7091788989899,37.67291663636364,38000.0
136,55.7091788989899,37.67484393939394,38000.0
137,55.7091788989899,37.67677124242424,41895.0
138,55.7091788989899,37.678698545454544,41895.0
139,55.7091788989899,37.68062584848485,41895.0
140,55.71008084848485,37.521587,44346.0
141,55.71008084848485,37.58133339393939,52535.0
142,55.71008084848485,37.583260696969695,52535.0
143,55.71008084848485,37.585188,52535.0
